CEP,DDD,Bank,CNPJ,IBGE,Feriados,Tabela FIPE,ISBN,Registros de domínio
4551010,,,44527444000155,,,,,
88020302,,,43050917000103,,,,,
4543011,,,74014747000135,,,,,
1310300,,,62178421000164,,,,,
30180100,,,17312661000155,,,,,
20050003,,,36210052000130,,,,,
20071000,,,33829086000119,,,,,
22640102,,,33775974000104,,,,,
90010260,,,93026847000126,,,,,
20220460,,,15213150000150,,,,,
4543011,,,61855045000132,,,,,
4538133,,,43815158000122,,,,,
1406000,,,32345784000186,,,,,
4543900,,,07554076000108,,,,,
1311920,,,33709114000164,,,,,
4547004,,,02685483000130,,,,,
6454010,,,09512542000118,,,,,
1451001,,,00336036000140,,,,,
90010090,,,92858380000118,,,,,
4542000,,,42584318000107,,,,,
4542000,,,61809182000130,,,,,
1311200,,,49241570000162,,,,,
22250040,,,28048783000100,,,,,
8533210,,,47965438000178,,,,,
22640100,,,34190991000134,,,,,
1310923,,,03317692000194,,,,,
4538133,,,63062749000183,,,,,
4538132,,,05816451000115,,,,,
22250906,,,27652684000162,,,,,
4542000,,,09605581000160,,,,,
1451000,,,65913436000117,,,,,
4538905,,,33894445000111,,,,,
30150281,,,17312083000157,,,,,
5319000,,,27842177000191,,,,,
22640102,,,09105360000122,,,,,
4543000,,,16695922000109,,,,,
4538133,,,31749596000150,,,,,
20090003,,,29621281000181,,,,,
4538132,,,61194353000164,,,,,
4583110,,,04217605000190,,,,,
4538905,,,32588139000194,,,,,
1227200,,,50579044000196,,,,,
90480001,,,92885631000153,,,,,
22250906,,,33886862000112,,,,,
30160912,,,16683062000185,,,,,
4538132,,,02670590000195,,,,,
4538132,,,12392983000138,,,,,
4544051,,,50489148000100,,,,,
4538132,,,04323351000194,,,,,
30140092,,,25674235000190,,,,,
1455000,,,61723847000199,,,,,
1418002,,,04257795000179,,,,,
1014001,,,43060029000171,,,,,
5409000,,,62169875000179,,,,,
1451001,,,46403683000129,,,,,
4538132,,,00806535000154,,,,,
20040909,,,42066258000130,,,,,
4543011,,,51014223000149,,,,,
1452000,,,39696805000157,,,,,
22440032,,,17352220000187,,,,,
90480000,,,68757681000170,,,,,
1452919,,,62285390000140,,,,,
30130131,,,17315359000150,,,,,
1013100,,,96477906000170,,,,,
30140080,,,29162769000198,,,,,
4551080,,,61747085000160,,,,,
4538132,,,02819125000173,,,,,
90035191,,,92875780000131,,,,,
22440032,,,02332886000104,,,,,
